protein_id,TPR
p49005,0.5454545454545454
p17931,0.9565217391304348
q80zv0,0.35064935064935066
q14978,0.9227467811158798
q13029,1.0
p36118,0.8229813664596274
p61073,0.7692307692307693
q13451,0.08333333333333333
o88597,0.37037037037037035
q12306,0.9565217391304348
p22216,1.0
q15797,0.9607843137254902
p52945,0.7375
q00169,0.09016393442622951
p27986,0.9333333333333333
p63159,0.36363636363636365
p12081,0.08333333333333333
p9wi73,0.7466666666666667
q9h211,0.0
q6nuk1,0.019230769230769232
p30260,0.9615384615384616
p49848,0.6673960612691466
o96013,1.0
q8iv16,1.0
q9ujx5,0.7720588235294118
p60604,0.7333333333333333
p31431,0.6785714285714286
p29131,0.5433070866141733
p14736,0.7612612612612613
o60200,0.8
p0age0,0.9848484848484849
q9xty3,0.9794871794871794
p54936,0.9846153846153847
p51965,0.275
p52948,1.0
p0ae72,0.3142857142857143
q03281,0.9523809523809523
o95292,0.0
p01071,0.23204419889502761
p0cf51,0.36363636363636365
p37028,0.0
o70480,0.08450704225352113
q01097,1.0
p08235,1.0
o14776,1.0
q9ubk2,1.0
p39926,0.02702702702702703
p08476,0.6071428571428571
q04964,1.0
q13188,0.8947368421052632
q16543,0.8548387096774194
q15418,1.0
q57904,0.0
o55000,1.0
p61244,0.7068965517241379
q92905,1.0
o13828,1.0
p33322,0.38636363636363635
q8wv28,0.9130434782608695
p51023,1.0
q2tuw1,0.7647058823529411
q8ivg9,0.75
q15596,1.0
p80644,0.8947368421052632
p47093,1.0
o14936,0.9206349206349206
o74499,0.9090909090909091
o00268,0.7749419953596288
a6nf83,1.0
p23443,0.9615384615384616
p10686,1.0
p33328,0.3516483516483517
p9wja9,1.0
q9y3b4,0.8260869565217391
p25916,0.1925925925925926
a0zwu1,0.9468085106382979
q13042,0.9523809523809523
q9um11,1.0
p32521,0.996551724137931
p0ce48,0.7391304347826086
p53378,0.02857142857142857
p40019,1.0
p60006,1.0
p10923,1.0
p12931,0.9047619047619048
p0a7k2,1.0
p47142,0.55
q9fg31,0.7974683544303798
q96t88,0.8974358974358975
p40855,0.47029702970297027
p32566,0.8192771084337349
o43474,1.0
q06696,0.5958549222797928
o43663,0.8636363636363636
p19594,0.6511627906976745
p9wnr7,0.5652173913043478
q9y4p1,0.7317073170731707
q9umx1,1.0
p04147,0.7857142857142857
q9cxy6,0.9
q9buq8,0.754863813229572
q9jih2,1.0
q9z0p7,1.0
p53779,0.34615384615384615
q99523,0.08333333333333333
p31324,0.38095238095238093
p08514,0.11764705882352941
p06454,0.972972972972973
g3v7p1,0.0
p0afg0,0.8611111111111112
q15843,0.6923076923076923
p32867,0.05405405405405406
o43715,0.8260869565217391
q9brg1,0.0
p46014,0.13333333333333333
p09012,0.625
p34233,0.9259259259259259
p41969,1.0
q96de5,1.0
p69346,0.0
q00987,0.9473684210526315
q03519,1.0
o43516,0.8629441624365483
p24255,0.4857142857142857
q8vhk2,0.9927536231884058
p24864,0.35714285714285715
q9eph0,0.7397260273972602
q8vhc5,0.9523809523809523
p30429,0.09523809523809523
p04083,0.2708333333333333
p62826,0.1111111111111111
p28698,0.3076923076923077
q96f86,0.9464285714285714
p32504,0.4
q14653,1.0
q9uhd9,0.5885714285714285
q15004,0.990990990990991
q9y261,0.7368421052631579
p35729,0.9565217391304348
