protein_id,TPR
p49005,0.21212121212121213
p17931,0.9739130434782609
q80zv0,0.44805194805194803
q14978,0.7939914163090128
q13029,1.0
p36118,0.5527950310559007
p61073,1.0
q13451,0.9166666666666666
o88597,0.0
q12306,0.9130434782608695
p22216,0.9433962264150944
q15797,0.8431372549019608
p52945,0.8875
p24928,1.0
q00169,0.02459016393442623
p27986,0.9
p63159,0.7142857142857143
p12081,0.9166666666666666
p9wi73,0.88
q9h211,0.5
q6nuk1,0.07692307692307693
p30260,0.9408284023668639
p49848,0.5908096280087527
o96013,0.95
q8iv16,1.0
q9ujx5,0.40441176470588236
p60604,0.0
p31431,0.25
p29131,0.905511811023622
p14736,0.8018018018018018
o60200,0.13333333333333333
p0age0,0.9696969696969697
q9xty3,0.7538461538461538
q8ng31,1.0
p54936,0.3384615384615385
p51965,1.0
p52948,1.0
p0ae72,0.0
q03281,1.0
o95292,0.0
p01071,0.049723756906077346
p0cf51,0.18181818181818182
p37028,0.0
o70480,0.014084507042253521
q01097,1.0
p08235,1.0
o14776,1.0
q9ubk2,0.9315068493150684
p39926,0.6081081081081081
p08476,1.0
q04964,0.5096153846153846
q13188,1.0
q16543,0.9032258064516129
q15418,0.7924528301886793
q57904,0.17857142857142858
o55000,0.632
p61244,0.603448275862069
q92905,1.0
o13828,1.0
p33322,0.25
q8wv28,0.43478260869565216
p51023,1.0
q2tuw1,0.7521008403361344
q8ivg9,0.0
q15596,1.0
p80644,0.7894736842105263
p47093,0.38095238095238093
o14936,0.4365079365079365
o74499,0.5454545454545454
o00268,0.6960556844547564
a6nf83,0.6185567010309279
p23443,0.9615384615384616
p10686,1.0
p33328,0.0989010989010989
p9wja9,0.8656716417910447
q9y3b4,0.43478260869565216
p25916,0.3333333333333333
a0zwu1,0.9042553191489362
q13042,0.9206349206349206
q9um11,1.0
p32521,0.9827586206896551
p0ce48,0.0
p53378,0.5714285714285714
p40019,0.49019607843137253
p60006,0.9692307692307692
p10923,0.9460431654676259
p12931,1.0
p0a7k2,0.8181818181818182
p47142,0.8
q9fg31,0.5126582278481012
q96t88,0.6923076923076923
p40855,0.8465346534653465
p32566,0.927710843373494
o43474,1.0
q06696,0.689119170984456
o43663,1.0
p19594,0.4418604651162791
p9wnr7,0.17391304347826086
q9y4p1,0.975609756097561
q9umx1,0.975609756097561
p04147,0.8214285714285714
p02549,0.8
q9cxy6,0.43333333333333335
q9buq8,0.5797665369649806
q9jih2,0.9682539682539683
q9z0p7,0.9012345679012346
p53779,0.5384615384615384
q99523,0.0
p31324,0.5793650793650794
p08514,0.3333333333333333
p06454,0.7387387387387387
g3v7p1,0.5652173913043478
p0afg0,0.7777777777777778
q15843,0.6153846153846154
p32867,0.6081081081081081
o43715,0.8695652173913043
q9brg1,0.0
p46014,0.0
p09012,1.0
p34233,0.9135802469135802
p41969,1.0
q96de5,0.7647058823529411
p69346,0.0
q00987,0.9052631578947369
q03519,0.3875968992248062
o43516,0.5177664974619289
p24255,0.5904761904761905
q8vhk2,0.9335748792270532
p24864,0.0
q9eph0,0.410958904109589
q8vhc5,1.0
p30429,0.0
p04083,0.2708333333333333
p62826,0.2857142857142857
p28698,1.0
q96f86,0.3392857142857143
p32504,0.2571428571428571
q14653,0.9375
q9uhd9,0.5028571428571429
q15004,0.6036036036036037
q9y261,0.3157894736842105
p35729,1.0
q92973,0.3018867924528302
q02078,0.0
o14352,0.03225806451612903
p41814,0.7724137931034483
q8k4j6,0.3333333333333333
q8bh64,0.46153846153846156
q8wum0,0.42
q12834,0.8130841121495327
q13542,0.30833333333333335
p28324,0.8837209302325582
o60741,0.967741935483871
p38968,1.0
q8cjf7,0.9853181076672104
p21734,0.34782608695652173
q8iw19,0.6547619047619048
o75506,0.5185185185185185
o75807,0.058823529411764705
o60566,0.13043478260869565
p05107,0.2857142857142857
q96gc6,0.43621399176954734
p01137,0.5909090909090909
q9c0c7,1.0
o65934,0.937007874015748
q9ubu9,0.9130434782608695
q9nr28,0.8666666666666667
p22626,0.9342105263157895
p29375,0.672316384180791
p52564,0.7906976744186046
p35222,1.0
p9wip5,0.0
q14493,0.92
p36578,0.42424242424242425
q9y3e7,1.0
p38919,1.0
o75683,0.554945054945055
q02821,0.9047619047619048
p21374,0.2714285714285714
o08807,0.0
p05106,0.17307692307692307
p0abs5,0.25
q24570,1.0
o76074,0.7317073170731707
p29274,0.875
q96sd1,1.0
o14558,0.8035714285714286
o43561,0.9077669902912622
p53330,0.813953488372093
o75928,0.967741935483871
p24385,0.5833333333333334
p9wpi9,0.9382716049382716
p33763,0.0
p22303,0.0
o54918,1.0
p9wkx3,1.0
p02730,1.0
q06609,0.3709677419354839
p51449,0.25
q9sp32,0.0625
p49757,0.09090909090909091
q9nry2,0.4032258064516129
q9slj2,0.6428571428571429
q0jrz9,0.0
o43313,1.0
q9ere7,0.3918918918918919
p08033,0.8507462686567164
p25644,0.978494623655914
q99958,0.0
q9ujx3,0.7739130434782608
q03071,0.0
p16050,0.0070921985815602835
p53999,0.9333333333333333
q02199,1.0
p28229,0.9902912621359223
q96ri1,0.0625
p0a903,0.0273972602739726
p55957,0.9166666666666666
q9y7m4,0.0
p15927,0.5289855072463768
p09038,0.7727272727272727
q6phw0,0.5428571428571428
q9jk66,0.9629629629629629
p60761,0.35294117647058826
p01042,1.0
q15910,0.9649122807017544
q38825,1.0
p52272,0.9333333333333333
q07912,0.42857142857142855
q9bs26,0.13333333333333333
q5rjl0,0.8900709219858156
p39007,0.0
q09514,0.5151515151515151
p02808,0.7209302325581395
p04183,0.9855072463768116
p53865,0.0
p19634,0.9632352941176471
q8nhz8,0.45
q8gyn5,0.7109004739336493
q99lj8,0.5135135135135135
q96273,0.17525773195876287
p31016,0.0
p50553,0.6779661016949152
p06899,0.7105263157894737
q9ujx2,0.9384615384615385
q9jm54,0.20833333333333334
o13916,0.32142857142857145
p08510,0.7622377622377622
q07930,0.7183098591549296
q9nrj3,0.3888888888888889
q6vmq6,1.0
p04271,0.0
p05386,0.9615384615384616
p43403,1.0
p48788,0.3023255813953488
q9ukt4,0.6260623229461756
o14974,0.175
q9hcj0,0.7857142857142857
p49790,1.0
q06406,1.0
q01081,0.08695652173913043
p37173,0.42857142857142855
p63165,1.0
p47054,0.5579710144927537
p52597,0.8
q96gu1,0.7747747747747747
