Pred,MCC,AUC,Fmax,TPR,FPR,TNR,PPV,BAC,COV
pLD60,0.5277583598576309,0.7426395153986152,0.6404347121798931,0.5685264588998118,0.08324742810258136,0.9167525718974187,0.7331669982130213,0.7426395153986152,468
pLD62,0.5468517039282961,0.7574979426329967,0.6615999999999999,0.6054172767203514,0.09042139145435803,0.909578608545642,0.7292768959435626,0.7574979426329966,468
pLD64,0.5632662245130649,0.7705529634179269,0.6790495919473911,0.638490901485045,0.09738497464919109,0.902615025350809,0.7251106030464087,0.7705529634179269,468
pLD66,0.5790429989940373,0.7831526927870228,0.6949455550138145,0.6707801715122359,0.1044747859381903,0.8955252140618097,0.7209171630886816,0.7831526927870228,468
pLD68,0.5911867455141582,0.7937782737938934,0.7072355823197708,0.700088893536917,0.11253234594913007,0.8874676540508699,0.7145296864576385,0.7937782737938934,468
pLD70,0.6015648998725833,0.8034209735916668,0.717477816271073,0.7282733737711776,0.12143142658784424,0.8785685734121558,0.7069976395339983,0.8034209735916666,468
pLD72,0.6076398645843787,0.810651651524055,0.7239138903899563,0.7530328383183434,0.13172953527023332,0.8682704647297667,0.6969630973986691,0.810651651524055,468
pLD74,0.611413315470186,0.8167704776425584,0.7282031192615626,0.777609286760092,0.14406833147497528,0.8559316685250247,0.6847000322298449,0.8167704776425584,468
pLD76,0.608977111900148,0.8196707494549532,0.7276470168257216,0.7993882033047479,0.16004670439484148,0.8399532956051585,0.6677222100895392,0.8196707494549532,468
pLD78,0.6024454875065743,0.8202683092968321,0.7237376534662606,0.8199382974273165,0.1794016788336524,0.8205983211663476,0.6477404163912757,0.820268309296832,468
pLD80,0.5917620955634292,0.8184347960102119,0.7164551881007071,0.8399916335494666,0.20312204152904298,0.796877958470957,0.6245966017341266,0.8184347960102119,468
